Postes,Sous-postes,Indicateurs de synthèse,Indicateurs de détail,Compte,Nature Budgétaire,Programme,Libellé Ministère, Balance Sortie 2022 , Balance Sortie 2021 , Balance Sortie 2020 , Balance Sortie 2019 , Balance Sortie 2018 , Balance Sortie 2017 , Balance Sortie 2016 , Balance Sortie 2015 , Balance Sortie 2014 , Balance Sortie 2013 , Balance Sortie 2012 
 Charges d'intervention , Transferts aux entreprises ,S047_Transferts aux entreprises,,6522800000,,149,Agriculture et alimentation,"-265665535,14","-61226960,74","-97677096,79","195908815,28","23234346,67","-223693460,08", -     ,"-1555552,38","1271982,71","850005,67",-376998
 Dettes non financières , Dettes d'intervention ,S902_Dettes d'intervention,P940_Charges à payer - transferts aux entreprises,4081000000,62,149,Agriculture et alimentation,"-158973672,96","-131849506,31","-201389097,46","-95872924,52","-159898309,05","-783632283,17","-1848582,33","-4358459,85", -     ,-297218,"-328856,67"
 Engagements hors bilan , Engagements financiers de l'Etat ,S804_Engagements financiers de l'Etat,,8040000000,,149,Agriculture et alimentation,"-401652691,48","-706684720,05","-524663175,29","-545698396,72","-669932501,32","-715436028,25","-16489857,89","-14842971,56","-22581731,58","-23522380,33","14933667,82"
 Engagements hors bilan , Contrepartie des engagements ,S899_Contrepartie des engagements,,8091000000,,149,Agriculture et alimentation,"-200709562,88","184559668,66","-151358522,14","-90892136,04","138693293,92","282904557,12","-125495802,71","-132517173,01","-94081235,35","-81474375,85","-41614365,1"
 Immobilisations financières , Fonds sans personnalité juridique ,S003_Immobilisations financières,A069_Fonds de garantie CCR,2733000000,,149,Agriculture et alimentation,"-146924149,91", -     , -     , -     , -     , -     , -     , -     , -     , -     , -     
 Produits d'intervention , Reprises sur provisions et dépréciations ,S054_Reprises sur provisions et dépréciations,C105_Prov. pour transferts aux autres coll.,7851400000,,143,Agriculture et alimentation,"-327970538,92","-327386601,19",-293959989,-347953191,"-327283477,21","-295008090,1","-284724585,26","-235756724,4","-163703689,49","-146248371,55","-224976623,26"
 Produits de fonctionnement , Reprises sur provisions et dépréciations ,S044_Reprises sur provisions et dépréciations,C056_Provisions pour risques,7815180000,,149,Agriculture et alimentation,"-234016003,88",-366748376,"-280592606,02","-235761943,73","-443627486,46","-1306508483,15",-31361713,-37488069,-38245000,-41200000,-84300000
 Provisions , Provisions pour charges ,S028_Provisions pour charges,P041_Provisions pour transferts,1525000000,,143,Agriculture et alimentation,"-355327582,11","-344514314,61","-338651852,75",-305204085,-348505816,"-340295983,65","-330998835,1","-293231280,72","-351649264,45","-194949139,65","-140314326,1"
 Solde des opérations de l'exercice ,   ,S035_Solde des opérations de l'exercice,,1200000000,,149,Agriculture et alimentation,"-1772029189,79","-1431447977,4","-1261318848,42","-1438605314,18","-1238349480,57","-151129855,64","-120536037,17","-78961189,63","-40202674,42","1753732,23","11249497,88"
 Solde des opérations de l'exercice ,   ,S035_Solde des opérations de l'exercice,,1200000000,550003,206,Agriculture et alimentation,"-182336168,62","-171700824,92","-160871071,06","-154254772,79","-150533817,76","-134408552,77","-127177141,78","-118019268,16","-98575806,76","-80842827,33","-63546523,68"
